method;line_search;id_parameter;alpha;beta;step;x_0;x_1
SteepestDescent;ExactLineSearch;0;;;0;0.1682513;0.25779225
SteepestDescent;ExactLineSearch;0;;;1;0.002086316119999987;0.25779225
SteepestDescent;ExactLineSearch;0;;;2;0.002086316119999987;-0.0011729547375000648
SteepestDescent;ExactLineSearch;0;;;3;2.5870319887999656e-05;-0.0011729547375000648
SteepestDescent;ExactLineSearch;0;;;4;3.207919666111913e-07;-0.0011729547375000648
SteepestDescent;ExactLineSearch;0;;;5;3.9778203859787195e-09;-0.0011729547375000648
SteepestDescent;ExactLineSearch;0;;;0;0.1682513;0.25779225
SteepestDescent;ExactLineSearch;0;;;1;0.002086316119999987;0.25779225
SteepestDescent;ExactLineSearch;0;;;2;0.002086316119999987;-0.0011729547375000648
SteepestDescent;ExactLineSearch;0;;;3;2.5870319887999656e-05;-0.0011729547375000648
SteepestDescent;ExactLineSearch;0;;;4;3.207919666111913e-07;-0.0011729547375000648
SteepestDescent;ExactLineSearch;0;;;5;3.9778203859787195e-09;-0.0011729547375000648
SteepestDescent;ExactLineSearch;1;;;0;0.19624892;0.39679932
SteepestDescent;ExactLineSearch;1;;;1;0.19624892;-0.0018054369060001019
SteepestDescent;ExactLineSearch;1;;;2;0.0010793690599999461;-0.0018054369060001019
SteepestDescent;ExactLineSearch;1;;;3;5.936529829999541e-06;-0.0018054369060001019
SteepestDescent;ExactLineSearch;1;;;4;3.265091406499638e-08;-0.0018054369060001019
SteepestDescent;ExactLineSearch;1;;;0;0.19624892;0.39679932
SteepestDescent;ExactLineSearch;1;;;1;0.19624892;-0.0018054369060001019
SteepestDescent;ExactLineSearch;1;;;2;0.0010793690599999461;-0.0018054369060001019
SteepestDescent;ExactLineSearch;1;;;3;5.936529829999541e-06;-0.0018054369060001019
SteepestDescent;ExactLineSearch;1;;;4;3.265091406499638e-08;-0.0018054369060001019
SteepestDescent;ExactLineSearch;2;;;0;0.31747978;0.07399477
SteepestDescent;ExactLineSearch;2;;;1;0.013461142671999937;0.07399477
SteepestDescent;ExactLineSearch;2;;;2;0.0005707524492927947;0.07399477
SteepestDescent;ExactLineSearch;2;;;3;0.0005707524492927947;-0.00033667620350003036
SteepestDescent;ExactLineSearch;2;;;4;2.4199903850014395e-05;-0.00033667620350003036
SteepestDescent;ExactLineSearch;2;;;5;1.026075923240605e-06;-0.00033667620350003036
SteepestDescent;ExactLineSearch;2;;;6;4.3505619145401504e-08;-0.00033667620350003036
SteepestDescent;ExactLineSearch;2;;;0;0.31747978;0.07399477
SteepestDescent;ExactLineSearch;2;;;1;0.013461142671999937;0.07399477
SteepestDescent;ExactLineSearch;2;;;2;0.0005707524492927947;0.07399477
SteepestDescent;ExactLineSearch;2;;;3;0.0005707524492927947;-0.00033667620350003036
SteepestDescent;ExactLineSearch;2;;;4;2.4199903850014395e-05;-0.00033667620350003036
SteepestDescent;ExactLineSearch;2;;;5;1.026075923240605e-06;-0.00033667620350003036
SteepestDescent;ExactLineSearch;2;;;6;4.3505619145401504e-08;-0.00033667620350003036
SteepestDescent;ExactLineSearch;3;;;0;0.316429;0.68409607
SteepestDescent;ExactLineSearch;3;;;1;-0.005616614750000026;0.68409607
SteepestDescent;ExactLineSearch;3;;;2;-0.005616614750000026;-0.0031126371185001833
SteepestDescent;ExactLineSearch;3;;;3;-0.005616614750000026;1.4162498889176787e-05
SteepestDescent;ExactLineSearch;3;;;4;-0.005616614750000026;-6.443936994575861e-08
SteepestDescent;ExactLineSearch;3;;;0;0.316429;0.68409607
SteepestDescent;ExactLineSearch;3;;;1;-0.005616614750000026;0.68409607
SteepestDescent;ExactLineSearch;3;;;2;-0.005616614750000026;-0.0031126371185001833
SteepestDescent;ExactLineSearch;3;;;3;-0.005616614750000026;1.4162498889176787e-05
SteepestDescent;ExactLineSearch;3;;;4;-0.005616614750000026;-6.443936994575861e-08
SteepestDescent;ExactLineSearch;4;;;0;0.21756331;0.40238833
SteepestDescent;ExactLineSearch;4;;;1;-0.0024258309065000316;0.40238833
